Independent Lens: Waterman – Duke: Ambassador of Aloha (9:00 p.m.), 5/10/22,PBS
The Challenge: All Stars, 5/11/22,Paramount+
The Essex Serpent, 5/13/22,Apple TV+
Great Performances: Anything Goes (9:00 p.m.), 5/13/22,PBS
Lucy Worsley Investigates (9:00 p.m.), 5/15/22,PBS
Independent Lens: Scenes from the Glittering World (9:00 p.m.), 5/16/22,PBS
Lionel Richie: Library of Congress Gershwin Prize for Popular Song (9:00 p.m.), 5/17/22,PBS
Colombia: Wild and Free (10:00 p.m.), 5/18/22,PBS
Angelyne, 5/19/22,Peacock
Undiscovered: Edgewood, 5/19/22,Discovery+
Explorer: The Deepest Cave, 5/19/22,National Geographic
Harriet the Spy, 5/20/22,Apple TV+
Now and Then, 5/20/22,Apple TV+
Independent Lens: A Once and Future Peace (10:00 p.m.), 5/23/22,PBS
American Experience: Plague at the Golden Gate (9:00 p.m.), 5/24/22,PBS
Obi-Wan Kenobi, 5/25/22,Disney+
NOVA: Ice Age Footprints (9:00 p.m.), 5/25/22,PBS
Stranger Things, 5/27/22,Netflix
Great Performances: Keeping Company with Sondheim (9:00 p.m.), 5/27/22,PBS
Biography: Bobby Brown (8:00 p.m.), 5/30/22,A&E
Theodore Roosevelt (8:00 p.m.), 5/30/22,History
Rising Against Asian Hate: One Day in March (9:00 p.m.), 5/31/22,PBS
Bobby Brown: Every Little Step (10:00 p.m.), 5/31/22,A&E
The Orville: New Horizons, 6/2/22,Hulu
The Boys, 6/3/22,Prime Video
Ms. Marvel, 6/8/22,Disney+
Finding Amelia, 6/9/22,Discovery+
Peaky Blinders, 6/10/22,Netflix
"Love, Victor", 6/15/22,Hulu
The Umbrella Academy, 6/22/22,Netflix
Only Murders in the Building, 6/28/22,Hulu
Stranger Things, 7/1/22,Netflix
The Terminal List, 7/1/22,Prime Video
The Green Planet (8:00 p.m.), 7/6/22,PBS
Better Call Saul, 7/11/22,AMC
Resident Evil, 7/14/22,Netflix
House of the Dragon, 8/21/22,HBO
The Lord of the Rings: The Rings of Power, 9/2/22,Prime Video
